"年度","リーグID","チームID","打者ID","月","試合","打席","打数","得点","安打","二塁打","三塁打","本塁打","塁打","打点","三振","四球","死球","犠打","犠飛","盗塁","盗塁死","併殺打","打率","長打率","出塁率","OPS","年間通算打数","年間通算安打","年間通算打率","data.means.km.cluster"
"5613",2014,2,11,20199,3,3,11,10,0,5,1,0,0,6,5,1,1,0,0,0,0,0,0,0.5,0.6,0.545454545455,1.14545454545,10,5,0.5,2
"5614",2014,2,11,20199,4,21,75,64,10,14,2,3,1,25,8,6,11,0,0,0,1,1,2,0.21875,0.390625,0.333333333333,0.723958333333,74,19,0.256756756756757,4
"5615",2014,2,11,20199,5,16,68,58,8,19,0,0,1,22,7,7,9,0,1,0,0,1,1,0.327586206897,0.379310344828,0.417910447761,0.797220792589,132,38,0.287878787878788,4
"5616",2009,1,3,20200,4,12,20,17,1,2,1,0,0,3,4,5,1,1,1,0,0,0,2,0.117647058824,0.176470588235,0.210526315789,0.386996904025,17,2,0.117647058823529,2
"5617",2009,1,3,20200,5,7,14,14,0,2,1,0,0,3,1,3,0,0,0,0,0,0,0,0.142857142857,0.214285714286,0.142857142857,0.357142857143,31,4,0.129032258064516,5
"5618",2009,1,3,20200,6,4,5,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0.2,0.2,35,4,0.114285714285714,5
"5619",2009,1,3,20200,7,6,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,4,0.1,5
"5620",2009,1,3,20200,8,10,17,15,0,3,2,0,0,5,0,6,1,0,1,0,0,1,0,0.2,0.333333333333,0.25,0.583333333333,55,7,0.127272727272727,2
"5621",2009,1,3,20200,9,5,9,9,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0.222222222222,0.222222222222,0.222222222222,0.444444444444,64,9,0.140625,5
"5622",2010,1,3,20200,6,11,34,28,2,10,1,0,0,11,2,9,5,0,1,0,0,0,2,0.357142857143,0.392857142857,0.454545454545,0.847402597403,28,10,0.357142857142857,2
"5623",2010,1,3,20200,7,11,6,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,32,10,0.3125,2
"5624",2010,1,3,20200,8,14,12,11,1,3,0,0,0,3,0,4,1,0,0,0,0,0,0,0.272727272727,0.272727272727,0.333333333333,0.606060606061,43,13,0.302325581395349,2
"5625",2009,2,11,20201,4,17,36,28,8,9,4,1,1,18,7,7,5,1,2,0,2,0,0,0.321428571429,0.642857142857,0.441176470588,1.08403361345,28,9,0.321428571428571,4
"5626",2009,2,11,20201,5,22,92,79,13,25,5,0,7,51,16,21,12,0,1,0,1,1,2,0.316455696203,0.645569620253,0.406593406593,1.05216302685,107,34,0.317757009345794,1
"5627",2009,2,11,20201,6,8,19,17,0,4,0,0,0,4,1,7,1,0,1,0,0,0,0,0.235294117647,0.235294117647,0.277777777778,0.513071895425,124,38,0.306451612903226,2
"5628",2009,2,11,20201,7,18,62,52,2,9,4,1,0,15,6,13,7,0,3,0,1,0,1,0.173076923077,0.288461538462,0.271186440678,0.55964797914,176,47,0.267045454545455,4
"5629",2009,2,11,20201,8,6,18,14,0,2,0,0,0,2,1,4,2,1,1,0,0,0,1,0.142857142857,0.142857142857,0.294117647059,0.436974789916,190,49,0.257894736842105,2
"5630",2009,2,11,20201,9,25,94,83,11,20,3,0,4,35,12,23,8,1,2,0,0,1,1,0.240963855422,0.421686746988,0.315217391304,0.736904138292,273,69,0.252747252747253,1
"5631",2009,2,11,20201,10,3,14,12,3,4,1,0,1,8,4,1,2,0,0,0,0,0,0,0.333333333333,0.666666666667,0.428571428571,1.09523809524,285,73,0.256140350877193,3
"5632",2010,2,11,20201,3,4,13,10,6,3,2,0,0,5,0,3,3,0,0,0,0,0,0,0.3,0.5,0.461538461538,0.961538461538,10,3,0.3,2
"5633",2010,2,11,20201,4,12,32,30,0,3,0,0,0,3,2,6,1,0,1,0,0,0,0,0.1,0.1,0.129032258065,0.229032258065,40,6,0.15,2
"5634",2010,2,11,20201,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,6,0.146341463414634,5
"5635",2010,2,11,20201,6,5,19,17,3,5,0,0,0,5,2,3,1,0,1,0,0,0,0,0.294117647059,0.294117647059,0.333333333333,0.627450980392,58,11,0.189655172413793,2
"5636",2010,2,11,20201,8,9,24,22,3,6,1,1,1,12,3,4,2,0,0,0,0,0,3,0.272727272727,0.545454545455,0.333333333333,0.878787878788,80,17,0.2125,2
"5637",2011,2,11,20201,4,5,12,9,1,1,0,0,0,1,0,5,0,1,2,0,0,0,1,0.111111111111,0.111111111111,0.2,0.311111111111,9,1,0.111111111111111,5
"5638",2011,2,11,20201,5,9,20,18,2,8,3,0,0,11,0,4,1,0,1,0,0,0,2,0.444444444444,0.611111111111,0.473684210526,1.08479532164,27,9,0.333333333333333,2
"5639",2009,2,12,20203,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5640",2009,2,12,20203,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5641",2012,2,12,20203,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5642",2012,2,12,20203,5,4,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,2
"5643",2012,2,12,20203,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,1,2
"5644",2012,2,12,20203,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,1,2
"5645",2013,2,12,20203,6,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"5646",2013,2,12,20203,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,0,5
"5647",2013,2,12,20203,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,0,5
"5648",2009,2,12,20204,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5649",2009,2,12,20204,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"5650",2009,2,12,20204,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,0,5
"5651",2009,2,12,20204,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,0,0,5
"5652",2010,2,12,20204,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5653",2010,2,12,20204,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5654",2010,2,12,20204,5,4,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,3,1,0.333333333333333,2
"5655",2010,2,12,20204,6,4,4,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0.2,2
"5656",2010,2,12,20204,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"5657",2010,2,12,20204,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"5658",2010,2,12,20204,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"5659",2011,2,12,20204,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5660",2011,2,12,20204,5,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"5661",2011,2,12,20204,6,4,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
"5662",2011,2,12,20204,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,5
"5663",2011,2,12,20204,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,5
"5664",2011,2,12,20204,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,5
"5665",2011,2,12,20204,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,5
"5666",2009,2,12,20210,4,22,74,63,12,16,2,0,0,18,6,18,7,0,3,1,1,1,3,0.253968253968,0.285714285714,0.323943661972,0.609657947686,63,16,0.253968253968254,4
"5667",2009,2,12,20210,5,18,72,60,11,18,3,0,0,21,6,12,4,0,7,1,1,1,1,0.3,0.35,0.338461538462,0.688461538462,123,34,0.276422764227642,4
"5668",2009,2,12,20210,6,7,7,5,1,1,1,0,0,2,1,1,2,0,0,0,0,0,1,0.2,0.4,0.428571428571,0.828571428571,128,35,0.2734375,2
"5669",2009,2,12,20210,7,10,29,26,1,3,0,0,0,3,1,5,1,0,2,0,1,0,1,0.115384615385,0.115384615385,0.148148148148,0.263532763533,154,38,0.246753246753247,2
"5670",2009,2,12,20210,8,20,65,55,8,18,2,2,0,24,3,12,8,1,1,0,4,0,1,0.327272727273,0.436363636364,0.421875,0.858238636364,209,56,0.267942583732057,4
"5671",2009,2,12,20210,9,17,34,32,2,6,1,1,0,9,3,8,1,0,0,1,1,0,0,0.1875,0.28125,0.205882352941,0.487132352941,241,62,0.257261410788382,4
"5672",2009,2,12,20210,10,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,242,62,0.256198347107438,2
"5673",2010,2,12,20210,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"5674",2010,2,12,20210,4,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,5,1,0.2,5
"5675",2010,2,12,20210,5,19,33,27,4,7,0,0,0,7,1,6,6,0,0,0,0,1,0,0.259259259259,0.259259259259,0.393939393939,0.653198653199,32,8,0.25,2
"5676",2010,2,12,20210,6,16,35,31,6,8,2,0,1,13,7,6,1,1,2,0,2,0,0,0.258064516129,0.41935483871,0.30303030303,0.72238514174,63,16,0.253968253968254,2
"5677",2010,2,12,20210,7,13,26,22,1,4,0,0,0,4,3,4,2,0,1,1,0,1,0,0.181818181818,0.181818181818,0.24,0.421818181818,85,20,0.235294117647059,2
"5678",2010,2,12,20210,8,12,17,17,1,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0.176470588235,0.176470588235,0.176470588235,0.352941176471,102,23,0.225490196078431,2
"5679",2010,2,12,20210,9,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,105,24,0.228571428571429,2
"5680",2011,2,12,20210,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"5681",2011,2,12,20210,5,11,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,4,1,0.25,2
"5682",2011,2,12,20210,6,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0.2,5
"5683",2009,2,9,20218,5,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
"5684",2010,2,9,20218,5,6,7,7,0,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0.571428571429,0.571428571429,0.571428571429,1.14285714286,7,4,0.571428571428571,2
"5685",2011,2,9,20218,4,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"5686",2011,2,9,20218,5,3,6,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5
"5687",2011,2,9,20218,6,8,9,8,0,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0.125,0.125,0.111111111111,0.236111111111,16,1,0.0625,5
"5688",2011,2,9,20218,7,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0.0454545454545455,5
"5689",2011,2,9,20218,8,2,4,4,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,26,2,0.0769230769230769,5
"5690",2011,2,9,20218,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0.0714285714285714,5
"5691",2012,2,9,20218,4,3,7,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5
"5692",2012,2,9,20218,5,4,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.666666666667,0.666666666667,0.666666666667,1.33333333333,10,2,0.2,5
"5693",2012,2,9,20218,6,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,2,0.166666666666667,5
"5694",2012,2,9,20218,8,4,5,4,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0.5,0.75,0.6,1.35,16,4,0.25,2
"5695",2013,2,9,20218,3,2,7,5,1,3,1,0,0,4,0,1,1,0,1,0,0,0,0,0.6,0.8,0.666666666667,1.46666666667,5,3,0.6,2
"5696",2013,2,9,20218,4,16,35,30,1,3,1,0,0,4,2,5,3,0,2,0,0,0,0,0.1,0.133333333333,0.181818181818,0.315151515152,35,6,0.171428571428571,2
"5697",2013,2,9,20218,5,3,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,6,0.146341463414634,5
"5698",2013,2,9,20218,7,12,26,22,1,5,0,0,0,5,2,8,2,0,2,0,0,0,0,0.227272727273,0.227272727273,0.291666666667,0.518939393939,63,11,0.174603174603175,2
"5699",2013,2,9,20218,8,10,17,14,0,3,1,0,0,4,0,5,2,0,1,0,0,0,0,0.214285714286,0.285714285714,0.3125,0.598214285714,77,14,0.181818181818182,2
"5700",2013,2,9,20218,9,9,23,18,5,5,1,0,0,6,3,3,2,1,1,1,1,0,0,0.277777777778,0.333333333333,0.363636363636,0.69696969697,95,19,0.2,2
"5701",2013,2,9,20218,10,4,14,11,0,2,0,0,0,2,0,3,0,1,2,0,0,0,0,0.181818181818,0.181818181818,0.25,0.431818181818,106,21,0.19811320754717,2
"5702",2014,2,9,20218,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"5703",2014,2,9,20218,5,9,17,15,4,7,2,0,0,9,1,1,2,0,0,0,0,0,0,0.466666666667,0.6,0.529411764706,1.12941176471,16,7,0.4375,2
"5704",2009,2,9,20219,4,15,70,57,11,15,4,0,1,22,4,6,10,2,1,0,5,1,2,0.263157894737,0.385964912281,0.391304347826,0.777269260107,57,15,0.263157894736842,4
"5705",2009,2,9,20219,5,23,96,78,9,22,4,3,3,41,6,13,15,1,2,0,6,1,1,0.282051282051,0.525641025641,0.404255319149,0.92989634479,135,37,0.274074074074074,1
"5706",2009,2,9,20219,6,9,27,22,3,5,1,0,1,9,2,4,5,0,0,0,1,0,0,0.227272727273,0.409090909091,0.37037037037,0.779461279461,157,42,0.267515923566879,2
"5707",2009,2,9,20219,7,24,110,98,15,23,5,1,2,36,8,22,11,1,0,0,2,4,1,0.234693877551,0.367346938776,0.318181818182,0.685528756957,255,65,0.254901960784314,1
"5708",2009,2,9,20219,8,22,104,91,12,26,5,0,2,37,5,13,12,1,0,0,5,3,1,0.285714285714,0.406593406593,0.375,0.781593406593,346,91,0.263005780346821,1
"5709",2009,2,9,20219,9,23,108,93,19,24,5,1,4,43,15,17,13,0,0,2,7,1,1,0.258064516129,0.462365591398,0.342592592593,0.80495818399,439,115,0.261958997722096,1
"5710",2009,2,9,20219,10,4,16,15,1,3,0,0,1,6,1,1,1,0,0,0,0,0,0,0.2,0.4,0.25,0.65,454,118,0.259911894273128,3
"5711",2010,2,9,20219,3,8,39,34,11,18,2,2,3,33,9,5,4,0,0,1,2,2,0,0.529411764706,0.970588235294,0.564102564103,1.5346907994,34,18,0.529411764705882,4
"5712",2010,2,9,20219,4,24,115,102,19,25,3,3,0,34,1,21,12,0,1,0,3,2,1,0.245098039216,0.333333333333,0.324561403509,0.657894736842,136,43,0.316176470588235,1
"5713",2010,2,9,20219,5,21,101,84,20,35,9,0,4,56,13,14,13,2,1,1,2,3,1,0.416666666667,0.666666666667,0.5,1.16666666667,220,78,0.354545454545455,1
"5714",2010,2,9,20219,6,19,94,84,13,24,2,1,0,28,6,21,7,0,2,1,0,1,1,0.285714285714,0.333333333333,0.336956521739,0.670289855072,304,102,0.335526315789474,1
"5715",2010,2,9,20219,7,23,107,93,11,31,3,0,0,34,8,10,12,0,1,1,3,1,2,0.333333333333,0.365591397849,0.405660377358,0.771251775208,397,133,0.335012594458438,1
"5716",2010,2,9,20219,8,26,125,103,20,29,6,0,0,35,3,16,20,1,1,0,3,1,3,0.281553398058,0.339805825243,0.403225806452,0.743031631694,500,162,0.324,1
"5717",2010,2,9,20219,9,22,107,92,27,43,7,2,4,66,19,9,11,1,2,1,8,1,0,0.467391304348,0.717391304348,0.52380952381,1.24120082816,592,205,0.346283783783784,1
"5718",2010,2,9,20219,10,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5,596,206,0.345637583892617,3
"5719",2013,1,5,20219,3,3,14,13,1,5,0,0,0,5,2,2,0,1,0,0,0,0,0,0.384615384615,0.384615384615,0.428571428571,0.813186813187,13,5,0.384615384615385,2
"5720",2013,1,5,20219,4,24,110,97,12,29,6,1,0,37,10,9,12,0,0,1,4,0,1,0.298969072165,0.381443298969,0.372727272727,0.754170571696,110,34,0.309090909090909,1
"5721",2013,1,5,20219,5,23,106,94,15,30,3,1,1,38,3,12,11,0,0,1,1,1,2,0.31914893617,0.404255319149,0.38679245283,0.791047771979,204,64,0.313725490196078,1
"5722",2013,1,5,20219,6,17,76,72,4,13,3,0,1,19,4,12,4,0,0,0,0,1,2,0.180555555556,0.263888888889,0.223684210526,0.487573099415,276,77,0.278985507246377,4
"5723",2013,1,5,20219,7,15,65,58,5,15,4,0,1,22,9,6,6,0,0,1,1,0,0,0.258620689655,0.379310344828,0.323076923077,0.702387267905,334,92,0.275449101796407,4
"5724",2013,1,5,20219,8,13,60,55,6,17,2,0,0,19,4,8,5,0,0,0,2,0,0,0.309090909091,0.345454545455,0.366666666667,0.712121212121,389,109,0.280205655526992,3
"5725",2013,1,5,20219,9,21,97,88,13,30,10,1,1,45,9,11,6,0,0,3,2,1,1,0.340909090909,0.511363636364,0.371134020619,0.882497656982,477,139,0.291404612159329,1
"5726",2013,1,5,20219,10,6,21,20,1,5,0,0,0,5,3,5,1,0,0,0,1,0,0,0.25,0.25,0.285714285714,0.535714285714,497,144,0.289738430583501,3
"5727",2014,1,5,20219,3,3,10,9,1,3,0,0,0,3,1,2,1,0,0,0,0,0,0,0.333333333333,0.333333333333,0.4,0.733333333333,9,3,0.333333333333333,2
"5728",2009,2,376,20220,4,17,63,61,3,15,2,0,0,17,1,6,1,1,0,0,2,0,2,0.245901639344,0.27868852459,0.269841269841,0.548529794431,61,15,0.245901639344262,2
"5729",2009,2,376,20220,5,20,60,53,4,12,3,0,1,18,4,8,4,2,0,1,2,1,1,0.22641509434,0.339622641509,0.3,0.639622641509,114,27,0.236842105263158,4
"5730",2009,2,376,20220,6,6,13,12,1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0.166666666667,0.166666666667,0.230769230769,0.397435897436,126,29,0.23015873015873,2
"5731",2009,2,376,20220,8,18,65,58,5,18,2,0,2,26,8,8,7,0,0,0,0,0,1,0.310344827586,0.448275862069,0.384615384615,0.832891246684,184,47,0.255434782608696,4
"5732",2009,2,9,20221,4,16,27,22,6,3,2,0,0,5,1,5,3,0,2,0,1,0,0,0.136363636364,0.227272727273,0.24,0.467272727273,22,3,0.136363636363636,2
"5733",2009,2,9,20221,5,16,17,14,6,1,1,0,0,2,0,2,2,0,1,0,3,0,0,0.0714285714286,0.142857142857,0.1875,0.330357142857,36,4,0.111111111111111,2
"5734",2009,2,9,20221,6,15,55,50,5,11,1,1,0,14,5,7,2,1,2,0,0,2,1,0.22,0.28,0.264150943396,0.544150943396,86,15,0.174418604651163,4
"5735",2009,2,9,20221,7,10,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,15,0.168539325842697,2
"5736",2009,2,9,20221,8,21,64,57,7,18,5,2,1,30,7,10,3,0,4,0,4,3,1,0.315789473684,0.526315789474,0.35,0.876315789474,146,33,0.226027397260274,4
"5737",2009,2,9,20221,9,21,74,64,11,13,1,1,0,16,4,17,6,0,3,1,4,1,0,0.203125,0.25,0.267605633803,0.517605633803,210,46,0.219047619047619,4
"5738",2009,2,9,20221,10,4,9,9,0,3,0,0,0,3,0,2,0,0,0,0,0,1,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,219,49,0.223744292237443,2
"5739",2010,2,9,20221,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"5740",2010,2,9,20221,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,1,0,0,5
"5741",2010,2,9,20221,5,9,28,23,3,6,0,0,0,6,3,3,1,1,3,0,2,1,1,0.260869565217,0.260869565217,0.32,0.580869565217,24,6,0.25,2
"5742",2011,2,9,20221,7,8,23,21,4,5,0,1,0,7,3,4,2,0,0,0,1,0,0,0.238095238095,0.333333333333,0.304347826087,0.63768115942,21,5,0.238095238095238,2
"5743",2011,2,9,20221,8,9,28,23,3,6,0,0,0,6,0,7,1,0,4,0,2,0,2,0.260869565217,0.260869565217,0.291666666667,0.552536231884,44,11,0.25,2
"5744",2011,2,9,20221,9,5,14,14,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0.142857142857,0.142857142857,0.142857142857,0.285714285714,58,13,0.224137931034483,2
"5745",2012,2,9,20221,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,0,0,5
"5746",2012,2,9,20221,5,12,8,6,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0.142857142857,0.142857142857,6,0,0,5
"5747",2012,2,9,20221,6,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5
"5748",2012,2,9,20221,7,12,2,2,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,9,0,0,5
"5749",2012,2,9,20221,8,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,9,0,0,5
"5750",2012,2,9,20221,9,11,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5
"5751",2012,2,9,20221,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,0,5
"5752",2013,2,9,20221,5,7,3,3,1,1,0,0,1,4,1,1,0,0,0,0,0,1,0,0.333333333333,1.33333333333,0.333333333333,1.66666666667,3,1,0.333333333333333,2
"5753",2013,2,9,20221,6,5,2,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0.5,0.5,4,1,0.25,2
"5754",2013,2,9,20221,7,5,12,10,1,1,1,0,0,2,0,3,0,0,2,0,0,0,0,0.1,0.2,0.1,0.3,14,2,0.142857142857143,2
"5755",2013,2,9,20221,8,4,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.125,0.125,0.125,0.25,22,3,0.136363636363636,5
"5756",2009,2,8,20224,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5757",2009,2,8,20224,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5758",2009,2,8,20224,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5759",2009,2,8,20224,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5760",2009,2,8,20224,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5761",2009,2,8,20224,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5762",2009,2,8,20224,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5763",2010,2,8,20224,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5764",2010,2,8,20224,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5765",2010,2,8,20224,5,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5766",2010,2,8,20224,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5767",2010,2,8,20224,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5768",2010,2,8,20224,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5769",2010,2,8,20224,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5770",2011,2,8,20224,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5771",2011,2,8,20224,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5772",2011,2,8,20224,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5773",2011,2,8,20224,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5774",2011,2,8,20224,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5775",2011,2,8,20224,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5776",2011,2,8,20224,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5777",2012,2,8,20224,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5778",2012,2,8,20224,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5779",2012,2,8,20224,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5780",2012,2,8,20224,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"5781",2012,2,8,20224,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
